Labels,20-NH2,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,6.66716699E+3,
471.00,7.57678760E+3,
472.00,8.54989746E+3,
473.00,9.85656641E+3,
474.00,1.12189600E+4,
475.00,1.27673154E+4,
476.00,1.43807686E+4,
477.00,1.59753584E+4,
478.00,1.78735449E+4,
479.00,2.01027539E+4,
480.00,2.22160566E+4,
481.00,2.41385352E+4,
482.00,2.69597949E+4,
483.00,2.91804453E+4,
484.00,3.16150449E+4,
485.00,3.40571328E+4,
486.00,3.64842227E+4,
487.00,3.85275234E+4,
488.00,4.10375195E+4,
489.00,4.33909531E+4,
490.00,4.57966680E+4,
491.00,4.78218203E+4,
492.00,4.99308477E+4,
493.00,5.18019766E+4,
494.00,5.35828828E+4,
495.00,5.57612930E+4,
496.00,5.72039648E+4,
497.00,5.86071563E+4,
498.00,5.99600820E+4,
499.00,6.16589609E+4,
500.00,6.28735547E+4,
501.00,6.39621836E+4,
502.00,6.54432227E+4,
503.00,6.64046484E+4,
504.00,6.75954688E+4,
505.00,6.83694766E+4,
506.00,6.94798672E+4,
507.00,6.99036328E+4,
508.00,7.03753281E+4,
509.00,7.09581328E+4,
510.00,7.16743906E+4,
511.00,7.21471953E+4,
512.00,7.26878438E+4,
513.00,7.26161875E+4,
514.00,7.29118281E+4,
515.00,7.25686875E+4,
516.00,7.28963203E+4,
517.00,7.30039063E+4,
518.00,7.30397734E+4,
519.00,7.27071875E+4,
520.00,7.28226484E+4,
521.00,7.22216016E+4,
522.00,7.21979844E+4,
523.00,7.18870547E+4,
524.00,7.18126406E+4,
525.00,7.12767109E+4,
526.00,7.13637813E+4,
527.00,7.06541641E+4,
528.00,7.02249531E+4,
529.00,6.88845547E+4,
530.00,6.83487188E+4,
531.00,6.77667031E+4,
532.00,6.74500156E+4,
533.00,6.66847578E+4,
534.00,6.58184141E+4,
535.00,6.50658008E+4,
536.00,6.41510547E+4,
537.00,6.33942070E+4,
538.00,6.25388203E+4,
539.00,6.14488633E+4,
540.00,6.07214297E+4,
541.00,6.01871602E+4,
542.00,5.89859570E+4,
543.00,5.80638164E+4,
544.00,5.64576992E+4,
545.00,5.66813867E+4,
546.00,5.54611406E+4,
547.00,5.40234922E+4,
548.00,5.30845234E+4,
549.00,5.20990117E+4,
550.00,5.12607266E+4,
551.00,5.09070508E+4,
552.00,4.95150000E+4,
553.00,4.88032930E+4,
554.00,4.75985781E+4,
555.00,4.66828047E+4,
556.00,4.61905039E+4,
557.00,4.52212773E+4,
558.00,4.39485586E+4,
559.00,4.32593516E+4,
560.00,4.19257578E+4,
561.00,4.10252461E+4,
562.00,4.04183711E+4,
563.00,3.99016602E+4,
564.00,3.84653828E+4,
565.00,3.80986172E+4,
566.00,3.73270469E+4,
567.00,3.58776094E+4,
568.00,3.52437617E+4,
569.00,3.47735039E+4,
570.00,3.41033672E+4,
571.00,3.29687969E+4,
572.00,3.22613691E+4,
573.00,3.13966816E+4,
574.00,3.02731699E+4,
575.00,3.01775176E+4,
576.00,2.90050352E+4,
577.00,2.84582637E+4,
578.00,2.81142930E+4,
579.00,2.71333691E+4,
580.00,2.63769141E+4,
581.00,2.58275059E+4,
582.00,2.50958477E+4,
583.00,2.42894785E+4,
584.00,2.38950684E+4,
585.00,2.36776543E+4,
586.00,2.24339531E+4,
587.00,2.18284004E+4,
588.00,2.16266719E+4,
589.00,2.09978496E+4,
590.00,2.06633945E+4,
591.00,2.00689023E+4,
592.00,1.94428555E+4,
593.00,1.89802031E+4,
594.00,1.87000859E+4,
595.00,1.78344746E+4,
596.00,1.74446445E+4,
597.00,1.73783887E+4,
598.00,1.62776553E+4,
599.00,1.60168965E+4,
600.00,1.57237920E+4,
601.00,1.53653760E+4,
602.00,1.47932520E+4,
603.00,1.42590068E+4,
604.00,1.39195000E+4,
605.00,1.37122080E+4,
606.00,1.32952578E+4,
607.00,1.26797598E+4,
608.00,1.24145645E+4,
609.00,1.21604541E+4,
610.00,1.19960547E+4,
611.00,1.16525322E+4,
612.00,1.10664443E+4,
613.00,1.08398633E+4,
614.00,1.04347480E+4,
615.00,1.05058145E+4,
616.00,1.02119805E+4,
617.00,9.61303906E+3,
618.00,9.71103320E+3,
619.00,9.53218555E+3,
620.00,9.10515820E+3,
621.00,8.52943652E+3,
622.00,8.53496094E+3,
623.00,8.41476855E+3,
624.00,8.33407324E+3,
625.00,7.94249219E+3,
626.00,7.89045801E+3,
627.00,7.52860156E+3,
628.00,6.95938965E+3,
629.00,7.19004297E+3,
630.00,6.95410938E+3,
631.00,6.65338428E+3,
632.00,6.46244580E+3,
633.00,6.32588086E+3,
634.00,6.08323486E+3,
635.00,6.00045313E+3,
636.00,5.65106348E+3,
637.00,5.66212451E+3,
638.00,5.40159668E+3,
639.00,5.49228271E+3,
640.00,5.18539014E+3,
641.00,4.89503955E+3,
642.00,4.95816992E+3,
643.00,4.72962061E+3,
644.00,4.72480078E+3,
645.00,4.55119971E+3,
646.00,4.51245996E+3,
647.00,4.24534131E+3,
648.00,4.14980322E+3,
649.00,4.23491064E+3,
650.00,3.94519507E+3,
651.00,3.73906958E+3,
652.00,3.71009741E+3,
653.00,3.69365796E+3,
654.00,3.71643555E+3,
655.00,3.48181372E+3,
656.00,3.45999951E+3,
657.00,3.16911328E+3,
658.00,3.46897559E+3,
659.00,3.48490112E+3,
660.00,3.82998389E+3,
661.00,3.96252344E+3,
662.00,3.27392188E+3,
663.00,2.78397607E+3,
664.00,2.85770605E+3,
665.00,2.77529858E+3,
666.00,2.52957104E+3,
667.00,2.57520776E+3,
668.00,2.60347778E+3,
669.00,2.26527246E+3,
670.00,2.52629834E+3,
671.00,2.37595142E+3,
672.00,2.37968164E+3,
673.00,2.22210791E+3,
674.00,2.24911304E+3,
675.00,2.14626318E+3,
676.00,1.98678552E+3,
677.00,2.12288599E+3,
678.00,2.04510266E+3,
679.00,2.02425305E+3,
680.00,1.52987585E+3,
681.00,1.68168066E+3,
682.00,1.44287585E+3,
683.00,1.49487073E+3,
684.00,1.53356702E+3,
685.00,1.62398730E+3,
686.00,1.36590515E+3,
687.00,1.46869373E+3,
688.00,1.48360400E+3,
689.00,1.48296460E+3,
690.00,1.45118567E+3,
691.00,1.23387000E+3,
692.00,9.60845520E+2,
693.00,1.21226807E+3,
694.00,1.17924194E+3,
695.00,1.04684814E+3,
696.00,1.14280542E+3,
697.00,1.02806189E+3,
698.00,1.16442163E+3,
699.00,9.50104492E+2,
700.00,9.72661316E+2,
