Labels,50-COOH,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,2.79303301E+4,
471.00,3.19081934E+4,
472.00,3.60019531E+4,
473.00,4.16480625E+4,
474.00,4.74739922E+4,
475.00,5.39327422E+4,
476.00,6.16939453E+4,
477.00,6.90936250E+4,
478.00,7.76309063E+4,
479.00,8.64766641E+4,
480.00,9.64620781E+4,
481.00,1.05858883E+5,
482.00,1.18150367E+5,
483.00,1.29279063E+5,
484.00,1.40215234E+5,
485.00,1.51675250E+5,
486.00,1.62516234E+5,
487.00,1.74435203E+5,
488.00,1.85972672E+5,
489.00,1.97463172E+5,
490.00,2.08156219E+5,
491.00,2.18492344E+5,
492.00,2.28690797E+5,
493.00,2.39327859E+5,
494.00,2.48184281E+5,
495.00,2.56590859E+5,
496.00,2.65688563E+5,
497.00,2.72988094E+5,
498.00,2.81466250E+5,
499.00,2.88818781E+5,
500.00,2.95377063E+5,
501.00,3.00985000E+5,
502.00,3.06855563E+5,
503.00,3.13337563E+5,
504.00,3.18330000E+5,
505.00,3.22957438E+5,
506.00,3.27480406E+5,
507.00,3.31376438E+5,
508.00,3.34925188E+5,
509.00,3.37375844E+5,
510.00,3.41784500E+5,
511.00,3.43681188E+5,
512.00,3.45203063E+5,
513.00,3.47955844E+5,
514.00,3.49277781E+5,
515.00,3.50785344E+5,
516.00,3.51716031E+5,
517.00,3.52748188E+5,
518.00,3.54496750E+5,
519.00,3.54083406E+5,
520.00,3.52780938E+5,
521.00,3.53074719E+5,
522.00,3.52908219E+5,
523.00,3.51770500E+5,
524.00,3.49321250E+5,
525.00,3.47221813E+5,
526.00,3.48556563E+5,
527.00,3.44881750E+5,
528.00,3.42701000E+5,
529.00,3.41247656E+5,
530.00,3.37832063E+5,
531.00,3.35421563E+5,
532.00,3.32934156E+5,
533.00,3.29067875E+5,
534.00,3.26052906E+5,
535.00,3.23453875E+5,
536.00,3.18454563E+5,
537.00,3.16380500E+5,
538.00,3.11744406E+5,
539.00,3.08793875E+5,
540.00,3.04944594E+5,
541.00,3.00532125E+5,
542.00,2.95834906E+5,
543.00,2.92117031E+5,
544.00,2.88215656E+5,
545.00,2.84784000E+5,
546.00,2.79208125E+5,
547.00,2.75260188E+5,
548.00,2.70117406E+5,
549.00,2.65959500E+5,
550.00,2.62689250E+5,
551.00,2.57023219E+5,
552.00,2.52917563E+5,
553.00,2.48464844E+5,
554.00,2.43554672E+5,
555.00,2.39905016E+5,
556.00,2.35507047E+5,
557.00,2.33081594E+5,
558.00,2.28764516E+5,
559.00,2.23014953E+5,
560.00,2.17543203E+5,
561.00,2.13434672E+5,
562.00,2.09144797E+5,
563.00,2.04977031E+5,
564.00,1.99880703E+5,
565.00,1.97165688E+5,
566.00,1.92717719E+5,
567.00,1.88447922E+5,
568.00,1.84209047E+5,
569.00,1.79379656E+5,
570.00,1.76401047E+5,
571.00,1.71692047E+5,
572.00,1.67774984E+5,
573.00,1.64584969E+5,
574.00,1.61497578E+5,
575.00,1.56772828E+5,
576.00,1.53162016E+5,
577.00,1.50591344E+5,
578.00,1.46792609E+5,
579.00,1.42588484E+5,
580.00,1.40852688E+5,
581.00,1.35418266E+5,
582.00,1.32918500E+5,
583.00,1.29770094E+5,
584.00,1.26465789E+5,
585.00,1.23866805E+5,
586.00,1.20892445E+5,
587.00,1.17969422E+5,
588.00,1.14943781E+5,
589.00,1.12296344E+5,
590.00,1.08637445E+5,
591.00,1.06792922E+5,
592.00,1.04352031E+5,
593.00,1.01159633E+5,
594.00,9.99496094E+4,
595.00,9.68993516E+4,
596.00,9.41338672E+4,
597.00,9.20295313E+4,
598.00,8.96819063E+4,
599.00,8.76207266E+4,
600.00,8.51823281E+4,
601.00,8.25548516E+4,
602.00,8.06557578E+4,
603.00,7.86733281E+4,
604.00,7.67136172E+4,
605.00,7.41730625E+4,
606.00,7.32314766E+4,
607.00,7.06315469E+4,
608.00,6.90465625E+4,
609.00,6.66922031E+4,
610.00,6.57541406E+4,
611.00,6.37316719E+4,
612.00,6.19627266E+4,
613.00,5.98946953E+4,
614.00,5.82687734E+4,
615.00,5.75261523E+4,
616.00,5.58644570E+4,
617.00,5.42500938E+4,
618.00,5.35003320E+4,
619.00,5.13885508E+4,
620.00,5.01243398E+4,
621.00,4.89977422E+4,
622.00,4.76342148E+4,
623.00,4.58690195E+4,
624.00,4.43170352E+4,
625.00,4.33545430E+4,
626.00,4.22487617E+4,
627.00,4.09139219E+4,
628.00,4.01619258E+4,
629.00,3.99359961E+4,
630.00,3.77241641E+4,
631.00,3.68298359E+4,
632.00,3.63310938E+4,
633.00,3.47037148E+4,
634.00,3.40297773E+4,
635.00,3.29409492E+4,
636.00,3.17104551E+4,
637.00,3.12790137E+4,
638.00,3.01622305E+4,
639.00,2.88305723E+4,
640.00,2.89084434E+4,
641.00,2.76070000E+4,
642.00,2.67769766E+4,
643.00,2.65614043E+4,
644.00,2.50361113E+4,
645.00,2.51279883E+4,
646.00,2.43691016E+4,
647.00,2.33277227E+4,
648.00,2.27459629E+4,
649.00,2.19567559E+4,
650.00,2.19343828E+4,
651.00,2.10377129E+4,
652.00,2.06096738E+4,
653.00,2.01125176E+4,
654.00,1.94687031E+4,
655.00,1.87793496E+4,
656.00,1.82867012E+4,
657.00,1.79090215E+4,
658.00,1.82129512E+4,
659.00,1.95846777E+4,
660.00,2.03810137E+4,
661.00,1.93254824E+4,
662.00,1.75031016E+4,
663.00,1.53727305E+4,
664.00,1.50537939E+4,
665.00,1.45232666E+4,
666.00,1.44085635E+4,
667.00,1.41633447E+4,
668.00,1.35996719E+4,
669.00,1.34426631E+4,
670.00,1.27637529E+4,
671.00,1.27821934E+4,
672.00,1.25946787E+4,
673.00,1.18800830E+4,
674.00,1.16745361E+4,
675.00,1.09255918E+4,
676.00,1.08561143E+4,
677.00,1.07791777E+4,
678.00,1.09908379E+4,
679.00,1.05049463E+4,
680.00,8.70917969E+3,
681.00,8.73235156E+3,
682.00,8.89702441E+3,
683.00,8.31321777E+3,
684.00,8.16068555E+3,
685.00,7.70610156E+3,
686.00,7.65042090E+3,
687.00,7.49386328E+3,
688.00,7.33439355E+3,
689.00,7.56605811E+3,
690.00,7.25953564E+3,
691.00,6.87078320E+3,
692.00,6.55817871E+3,
693.00,6.41132910E+3,
694.00,6.34067285E+3,
695.00,5.99609766E+3,
696.00,5.72012109E+3,
697.00,5.43291211E+3,
698.00,5.58701563E+3,
699.00,5.43464941E+3,
700.00,5.32647656E+3,
