Labels,EmScan25,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.25,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,2.27661157E+3,
471.00,2.37177246E+3,
472.00,2.63419263E+3,
473.00,3.04682373E+3,
474.00,3.49627661E+3,
475.00,3.81259375E+3,
476.00,4.40142676E+3,
477.00,4.87179248E+3,
478.00,5.37762451E+3,
479.00,6.05265723E+3,
480.00,7.00106201E+3,
481.00,7.85536572E+3,
482.00,8.57798242E+3,
483.00,9.41162500E+3,
484.00,1.04957012E+4,
485.00,1.15088896E+4,
486.00,1.24753301E+4,
487.00,1.36126162E+4,
488.00,1.46520723E+4,
489.00,1.61941699E+4,
490.00,1.75449102E+4,
491.00,1.86244863E+4,
492.00,1.96903926E+4,
493.00,2.06350098E+4,
494.00,2.20974863E+4,
495.00,2.33036973E+4,
496.00,2.42751836E+4,
497.00,2.50992188E+4,
498.00,2.66213008E+4,
499.00,2.74874844E+4,
500.00,2.86080430E+4,
501.00,2.97170742E+4,
502.00,3.06317578E+4,
503.00,3.15275977E+4,
504.00,3.23747559E+4,
505.00,3.28180703E+4,
506.00,3.40195898E+4,
507.00,3.50608047E+4,
508.00,3.54230352E+4,
509.00,3.62716797E+4,
510.00,3.69671563E+4,
511.00,3.83148203E+4,
512.00,3.80788008E+4,
513.00,3.87352227E+4,
514.00,3.91910000E+4,
515.00,3.97581328E+4,
516.00,3.97527695E+4,
517.00,4.05454570E+4,
518.00,4.06461094E+4,
519.00,4.10473281E+4,
520.00,4.09806836E+4,
521.00,4.15924141E+4,
522.00,4.16756289E+4,
523.00,4.14499219E+4,
524.00,4.15592773E+4,
525.00,4.17864375E+4,
526.00,4.17546914E+4,
527.00,4.13272461E+4,
528.00,4.14750977E+4,
529.00,4.14147070E+4,
530.00,4.16073789E+4,
531.00,4.08288203E+4,
532.00,4.13028047E+4,
533.00,4.10396016E+4,
534.00,4.03532539E+4,
535.00,3.97244453E+4,
536.00,4.04163984E+4,
537.00,3.96231055E+4,
538.00,3.93971836E+4,
539.00,3.91296367E+4,
540.00,3.88885625E+4,
541.00,3.83163320E+4,
542.00,3.80657539E+4,
543.00,3.72022578E+4,
544.00,3.72048438E+4,
545.00,3.63526289E+4,
546.00,3.57108242E+4,
547.00,3.58068047E+4,
548.00,3.49975352E+4,
549.00,3.44158750E+4,
550.00,3.40231523E+4,
551.00,3.31242344E+4,
552.00,3.27725430E+4,
553.00,3.25746758E+4,
554.00,3.20261953E+4,
555.00,3.12261172E+4,
556.00,3.11188340E+4,
557.00,3.06062930E+4,
558.00,3.05332930E+4,
559.00,2.99737988E+4,
560.00,2.88342676E+4,
561.00,2.81993809E+4,
562.00,2.76009668E+4,
563.00,2.68065918E+4,
564.00,2.66164805E+4,
565.00,2.64797910E+4,
566.00,2.62046816E+4,
567.00,2.51064824E+4,
568.00,2.52275625E+4,
569.00,2.47266855E+4,
570.00,2.39732285E+4,
571.00,2.32675977E+4,
572.00,2.27498770E+4,
573.00,2.26660547E+4,
574.00,2.18293672E+4,
575.00,2.17235254E+4,
576.00,2.08035488E+4,
577.00,2.01394355E+4,
578.00,1.98229707E+4,
579.00,1.99984258E+4,
580.00,1.91752480E+4,
581.00,1.84543711E+4,
582.00,1.82972207E+4,
583.00,1.77521367E+4,
584.00,1.78080215E+4,
585.00,1.72881250E+4,
586.00,1.66669160E+4,
587.00,1.62312188E+4,
588.00,1.60438145E+4,
589.00,1.54973984E+4,
590.00,1.49887520E+4,
591.00,1.49549502E+4,
592.00,1.43666680E+4,
593.00,1.41536689E+4,
594.00,1.38945127E+4,
595.00,1.33292383E+4,
596.00,1.29763740E+4,
597.00,1.24886904E+4,
598.00,1.24091055E+4,
599.00,1.23341504E+4,
600.00,1.16868066E+4,
601.00,1.16143926E+4,
602.00,1.12595781E+4,
603.00,1.10201533E+4,
604.00,1.08602168E+4,
605.00,1.01669336E+4,
606.00,1.03723848E+4,
607.00,1.00977363E+4,
608.00,9.65567773E+3,
609.00,9.56886035E+3,
610.00,9.05220508E+3,
611.00,9.14656738E+3,
612.00,8.83512988E+3,
613.00,8.42594043E+3,
614.00,8.20157813E+3,
615.00,8.18412988E+3,
616.00,7.95304346E+3,
617.00,7.70736230E+3,
618.00,7.59988623E+3,
619.00,7.29130029E+3,
620.00,7.08151367E+3,
621.00,7.11905811E+3,
622.00,6.85958740E+3,
623.00,6.52260986E+3,
624.00,6.44384863E+3,
625.00,6.38551465E+3,
626.00,6.18717578E+3,
627.00,6.01848682E+3,
628.00,5.62173730E+3,
629.00,5.83383252E+3,
630.00,5.35716309E+3,
631.00,5.43525635E+3,
632.00,5.20190479E+3,
633.00,5.29740625E+3,
634.00,5.11986426E+3,
635.00,4.80549609E+3,
636.00,4.80809668E+3,
637.00,4.61020215E+3,
638.00,4.39253613E+3,
639.00,4.46796875E+3,
640.00,4.15975146E+3,
641.00,4.21478223E+3,
642.00,3.88004248E+3,
643.00,3.90511694E+3,
644.00,3.78584863E+3,
645.00,3.36351416E+3,
646.00,3.67125049E+3,
647.00,3.36059375E+3,
648.00,3.46347534E+3,
649.00,2.90221094E+3,
650.00,3.39289087E+3,
651.00,2.88424829E+3,
652.00,3.23334180E+3,
653.00,2.96830811E+3,
654.00,2.95322339E+3,
655.00,2.72400488E+3,
656.00,2.84757715E+3,
657.00,2.55672144E+3,
658.00,2.44678857E+3,
659.00,2.59654272E+3,
660.00,2.94574365E+3,
661.00,2.83145288E+3,
662.00,2.42774951E+3,
663.00,2.54232568E+3,
664.00,2.13302808E+3,
665.00,2.22390552E+3,
666.00,2.30075562E+3,
667.00,1.98167554E+3,
668.00,2.09394067E+3,
669.00,1.91625110E+3,
670.00,2.06931421E+3,
671.00,2.02957336E+3,
672.00,1.90647925E+3,
673.00,1.79720898E+3,
674.00,1.54062537E+3,
675.00,1.53616077E+3,
676.00,1.75716895E+3,
677.00,1.81925830E+3,
678.00,1.55524121E+3,
679.00,1.57736670E+3,
680.00,1.33342480E+3,
681.00,1.41660413E+3,
682.00,1.38350134E+3,
683.00,1.28202527E+3,
684.00,1.31177368E+3,
685.00,1.14905579E+3,
686.00,1.29697620E+3,
687.00,1.27961047E+3,
688.00,1.06218872E+3,
689.00,1.02492542E+3,
690.00,9.96369507E+2,
691.00,1.03462988E+3,
692.00,9.86641174E+2,
693.00,8.61992920E+2,
694.00,1.08304712E+3,
695.00,1.00043048E+3,
696.00,8.48221252E+2,
697.00,9.21924194E+2,
698.00,8.60012390E+2,
699.00,7.89354797E+2,
700.00,6.80785461E+2,
