Labels,EmScan5,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.25,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,2.48521191E+4,
471.00,2.63178047E+4,
472.00,2.90492285E+4,
473.00,3.27094688E+4,
474.00,3.71753516E+4,
475.00,4.18950664E+4,
476.00,4.72882109E+4,
477.00,5.35032813E+4,
478.00,6.10918867E+4,
479.00,6.85060234E+4,
480.00,7.76363281E+4,
481.00,8.61002266E+4,
482.00,9.63946016E+4,
483.00,1.07047828E+5,
484.00,1.18293570E+5,
485.00,1.30807227E+5,
486.00,1.42987984E+5,
487.00,1.56989594E+5,
488.00,1.69369625E+5,
489.00,1.84063063E+5,
490.00,1.98096813E+5,
491.00,2.12542328E+5,
492.00,2.27202484E+5,
493.00,2.42906828E+5,
494.00,2.56778641E+5,
495.00,2.70994438E+5,
496.00,2.85256156E+5,
497.00,2.98532250E+5,
498.00,3.11549375E+5,
499.00,3.24466094E+5,
500.00,3.35988094E+5,
501.00,3.48304406E+5,
502.00,3.60641281E+5,
503.00,3.71832500E+5,
504.00,3.84708719E+5,
505.00,3.92797781E+5,
506.00,4.03338094E+5,
507.00,4.13982063E+5,
508.00,4.22189188E+5,
509.00,4.30780781E+5,
510.00,4.39324375E+5,
511.00,4.48579125E+5,
512.00,4.54916500E+5,
513.00,4.62842938E+5,
514.00,4.67047000E+5,
515.00,4.73449844E+5,
516.00,4.79538406E+5,
517.00,4.82882125E+5,
518.00,4.88718563E+5,
519.00,4.91997906E+5,
520.00,4.95082719E+5,
521.00,4.98444063E+5,
522.00,5.00513156E+5,
523.00,5.03897875E+5,
524.00,5.04244594E+5,
525.00,5.04377000E+5,
526.00,5.06060563E+5,
527.00,5.08007500E+5,
528.00,5.06811875E+5,
529.00,5.07351438E+5,
530.00,5.05069156E+5,
531.00,5.03758344E+5,
532.00,5.01499094E+5,
533.00,5.01115125E+5,
534.00,4.97969344E+5,
535.00,4.94568156E+5,
536.00,4.91810938E+5,
537.00,4.86891594E+5,
538.00,4.86650500E+5,
539.00,4.82678375E+5,
540.00,4.78000750E+5,
541.00,4.76930938E+5,
542.00,4.69650031E+5,
543.00,4.66044344E+5,
544.00,4.60745438E+5,
545.00,4.55666156E+5,
546.00,4.51478719E+5,
547.00,4.45437531E+5,
548.00,4.42369156E+5,
549.00,4.37038750E+5,
550.00,4.30858813E+5,
551.00,4.24976313E+5,
552.00,4.18426938E+5,
553.00,4.13500469E+5,
554.00,4.08931719E+5,
555.00,4.02594281E+5,
556.00,3.97307719E+5,
557.00,3.93227500E+5,
558.00,3.89108250E+5,
559.00,3.83868500E+5,
560.00,3.75952156E+5,
561.00,3.66888281E+5,
562.00,3.60400063E+5,
563.00,3.53414188E+5,
564.00,3.45901656E+5,
565.00,3.40974250E+5,
566.00,3.36525188E+5,
567.00,3.29019469E+5,
568.00,3.21722438E+5,
569.00,3.16038563E+5,
570.00,3.09835531E+5,
571.00,3.04742500E+5,
572.00,3.00854625E+5,
573.00,2.92548500E+5,
574.00,2.88010469E+5,
575.00,2.82705000E+5,
576.00,2.76519094E+5,
577.00,2.69955406E+5,
578.00,2.64446125E+5,
579.00,2.58378578E+5,
580.00,2.53451563E+5,
581.00,2.47846594E+5,
582.00,2.42727469E+5,
583.00,2.37929406E+5,
584.00,2.34077594E+5,
585.00,2.27995406E+5,
586.00,2.22331328E+5,
587.00,2.18219938E+5,
588.00,2.14077203E+5,
589.00,2.07315188E+5,
590.00,2.02691781E+5,
591.00,1.99345156E+5,
592.00,1.94145031E+5,
593.00,1.90938438E+5,
594.00,1.86279172E+5,
595.00,1.81911469E+5,
596.00,1.78383578E+5,
597.00,1.74374297E+5,
598.00,1.69881563E+5,
599.00,1.66921031E+5,
600.00,1.63252969E+5,
601.00,1.58950781E+5,
602.00,1.53859656E+5,
603.00,1.51617563E+5,
604.00,1.47063688E+5,
605.00,1.43411297E+5,
606.00,1.40269625E+5,
607.00,1.38072766E+5,
608.00,1.34136281E+5,
609.00,1.30222844E+5,
610.00,1.27415578E+5,
611.00,1.25402078E+5,
612.00,1.20100000E+5,
613.00,1.18114188E+5,
614.00,1.16598297E+5,
615.00,1.13128438E+5,
616.00,1.09936211E+5,
617.00,1.06473758E+5,
618.00,1.05129836E+5,
619.00,1.01586797E+5,
620.00,9.86541406E+4,
621.00,9.61350781E+4,
622.00,9.37300547E+4,
623.00,9.22883359E+4,
624.00,8.89790938E+4,
625.00,8.65972188E+4,
626.00,8.46001953E+4,
627.00,8.28182734E+4,
628.00,8.05706172E+4,
629.00,7.88745078E+4,
630.00,7.72768984E+4,
631.00,7.54631563E+4,
632.00,7.26397656E+4,
633.00,6.98110000E+4,
634.00,6.94513359E+4,
635.00,6.68667266E+4,
636.00,6.50145977E+4,
637.00,6.34651523E+4,
638.00,6.24574727E+4,
639.00,6.03682148E+4,
640.00,5.88699102E+4,
641.00,5.74972070E+4,
642.00,5.48208555E+4,
643.00,5.44819453E+4,
644.00,5.28224805E+4,
645.00,5.10055117E+4,
646.00,5.02302852E+4,
647.00,4.80965313E+4,
648.00,4.68754297E+4,
649.00,4.62350742E+4,
650.00,4.51682305E+4,
651.00,4.34988945E+4,
652.00,4.21193398E+4,
653.00,4.13033008E+4,
654.00,3.99479180E+4,
655.00,4.06490586E+4,
656.00,3.85928555E+4,
657.00,3.74094141E+4,
658.00,3.63216016E+4,
659.00,3.64698789E+4,
660.00,3.81652734E+4,
661.00,3.82702148E+4,
662.00,3.68225742E+4,
663.00,3.43450898E+4,
664.00,3.16861133E+4,
665.00,3.02376758E+4,
666.00,2.89104688E+4,
667.00,2.90320059E+4,
668.00,2.77223750E+4,
669.00,2.83494883E+4,
670.00,2.66384766E+4,
671.00,2.63623555E+4,
672.00,2.55929414E+4,
673.00,2.48154941E+4,
674.00,2.39609121E+4,
675.00,2.36236211E+4,
676.00,2.36107012E+4,
677.00,2.27810898E+4,
678.00,2.20665449E+4,
679.00,2.16912285E+4,
680.00,2.03901152E+4,
681.00,1.85775625E+4,
682.00,1.88172793E+4,
683.00,1.84771348E+4,
684.00,1.82187051E+4,
685.00,1.69109121E+4,
686.00,1.76685879E+4,
687.00,1.65277090E+4,
688.00,1.62539658E+4,
689.00,1.60970547E+4,
690.00,1.56324219E+4,
691.00,1.54847344E+4,
692.00,1.42968535E+4,
693.00,1.49375635E+4,
694.00,1.42420752E+4,
695.00,1.36411582E+4,
696.00,1.35314512E+4,
697.00,1.27659639E+4,
698.00,1.25409619E+4,
699.00,1.26043428E+4,
700.00,1.18212715E+4,
