Labels,EmScan14,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,1.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,5.00224492E+4,
471.00,5.40240273E+4,
472.00,5.98321406E+4,
473.00,6.73904844E+4,
474.00,7.46199688E+4,
475.00,8.42754141E+4,
476.00,9.48964063E+4,
477.00,1.07270008E+5,
478.00,1.19909391E+5,
479.00,1.35160313E+5,
480.00,1.50572109E+5,
481.00,1.67684750E+5,
482.00,1.85130875E+5,
483.00,2.04790094E+5,
484.00,2.24142250E+5,
485.00,2.45528578E+5,
486.00,2.67494594E+5,
487.00,2.90234031E+5,
488.00,3.12363188E+5,
489.00,3.36948875E+5,
490.00,3.60154750E+5,
491.00,3.83378250E+5,
492.00,4.06537688E+5,
493.00,4.30725250E+5,
494.00,4.54257063E+5,
495.00,4.76512000E+5,
496.00,4.97187219E+5,
497.00,5.19658531E+5,
498.00,5.40941813E+5,
499.00,5.61442438E+5,
500.00,5.81556313E+5,
501.00,5.99824688E+5,
502.00,6.17049063E+5,
503.00,6.35700188E+5,
504.00,6.54335500E+5,
505.00,6.69477438E+5,
506.00,6.84414188E+5,
507.00,6.99714875E+5,
508.00,7.14511813E+5,
509.00,7.27249875E+5,
510.00,7.40101813E+5,
511.00,7.51715813E+5,
512.00,7.61677375E+5,
513.00,7.72908438E+5,
514.00,7.82667313E+5,
515.00,7.90095625E+5,
516.00,7.97104813E+5,
517.00,8.02573250E+5,
518.00,8.09110188E+5,
519.00,8.14406063E+5,
520.00,8.18205063E+5,
521.00,8.22748000E+5,
522.00,8.26572813E+5,
523.00,8.30011250E+5,
524.00,8.31119938E+5,
525.00,8.31849625E+5,
526.00,8.32654375E+5,
527.00,8.32577375E+5,
528.00,8.31695188E+5,
529.00,8.29761000E+5,
530.00,8.25429000E+5,
531.00,8.23521063E+5,
532.00,8.21146563E+5,
533.00,8.17022875E+5,
534.00,8.13400438E+5,
535.00,8.08358500E+5,
536.00,8.03633250E+5,
537.00,7.98359813E+5,
538.00,7.92823125E+5,
539.00,7.87960750E+5,
540.00,7.83130063E+5,
541.00,7.75850375E+5,
542.00,7.68699313E+5,
543.00,7.61105500E+5,
544.00,7.52628313E+5,
545.00,7.45126563E+5,
546.00,7.38123875E+5,
547.00,7.28430125E+5,
548.00,7.21258250E+5,
549.00,7.14377250E+5,
550.00,7.04851188E+5,
551.00,6.95995375E+5,
552.00,6.87091938E+5,
553.00,6.75803875E+5,
554.00,6.66985938E+5,
555.00,6.56997625E+5,
556.00,6.50387188E+5,
557.00,6.44989875E+5,
558.00,6.39324375E+5,
559.00,6.27521000E+5,
560.00,6.12058313E+5,
561.00,5.99785313E+5,
562.00,5.88900313E+5,
563.00,5.79227500E+5,
564.00,5.68699938E+5,
565.00,5.58849000E+5,
566.00,5.48001375E+5,
567.00,5.37657750E+5,
568.00,5.28150063E+5,
569.00,5.18812156E+5,
570.00,5.08308875E+5,
571.00,4.98749594E+5,
572.00,4.88867313E+5,
573.00,4.79967469E+5,
574.00,4.69636125E+5,
575.00,4.60109625E+5,
576.00,4.51446219E+5,
577.00,4.42319688E+5,
578.00,4.32540375E+5,
579.00,4.23791063E+5,
580.00,4.14214594E+5,
581.00,4.06174281E+5,
582.00,3.96903656E+5,
583.00,3.89131281E+5,
584.00,3.81573531E+5,
585.00,3.71336219E+5,
586.00,3.64190563E+5,
587.00,3.56080313E+5,
588.00,3.48637313E+5,
589.00,3.41510250E+5,
590.00,3.33458656E+5,
591.00,3.26251406E+5,
592.00,3.19053281E+5,
593.00,3.11564156E+5,
594.00,3.04213469E+5,
595.00,2.97930719E+5,
596.00,2.91462094E+5,
597.00,2.85187813E+5,
598.00,2.77005656E+5,
599.00,2.71222844E+5,
600.00,2.65322156E+5,
601.00,2.58986109E+5,
602.00,2.53534000E+5,
603.00,2.47332234E+5,
604.00,2.41015734E+5,
605.00,2.35909688E+5,
606.00,2.29086563E+5,
607.00,2.24185094E+5,
608.00,2.18823422E+5,
609.00,2.12966234E+5,
610.00,2.07478688E+5,
611.00,2.02736531E+5,
612.00,1.98159984E+5,
613.00,1.92592891E+5,
614.00,1.88681953E+5,
615.00,1.83427953E+5,
616.00,1.78868031E+5,
617.00,1.74420063E+5,
618.00,1.69690438E+5,
619.00,1.66029484E+5,
620.00,1.61250547E+5,
621.00,1.58151797E+5,
622.00,1.53250734E+5,
623.00,1.48906188E+5,
624.00,1.45004531E+5,
625.00,1.42010078E+5,
626.00,1.38552063E+5,
627.00,1.34951906E+5,
628.00,1.30910148E+5,
629.00,1.27531750E+5,
630.00,1.24140344E+5,
631.00,1.21531633E+5,
632.00,1.17891273E+5,
633.00,1.14087438E+5,
634.00,1.11416961E+5,
635.00,1.08765234E+5,
636.00,1.05955656E+5,
637.00,1.03121484E+5,
638.00,9.99253516E+4,
639.00,9.75663516E+4,
640.00,9.50735156E+4,
641.00,9.23545078E+4,
642.00,8.99473906E+4,
643.00,8.78273750E+4,
644.00,8.51134141E+4,
645.00,8.40921875E+4,
646.00,8.13802578E+4,
647.00,7.92667891E+4,
648.00,7.73055234E+4,
649.00,7.51365781E+4,
650.00,7.30520781E+4,
651.00,7.08842109E+4,
652.00,6.90826250E+4,
653.00,6.76842813E+4,
654.00,6.61699453E+4,
655.00,6.38454688E+4,
656.00,6.26930664E+4,
657.00,6.07284336E+4,
658.00,5.97137148E+4,
659.00,6.08711680E+4,
660.00,6.41147813E+4,
661.00,6.35571992E+4,
662.00,5.92277852E+4,
663.00,5.35261250E+4,
664.00,5.09941484E+4,
665.00,4.93942500E+4,
666.00,4.78919922E+4,
667.00,4.65861484E+4,
668.00,4.57953867E+4,
669.00,4.44216250E+4,
670.00,4.32267930E+4,
671.00,4.24938672E+4,
672.00,4.17465938E+4,
673.00,4.07401641E+4,
674.00,3.95836133E+4,
675.00,3.84586016E+4,
676.00,3.78041211E+4,
677.00,3.68218203E+4,
678.00,3.52416055E+4,
679.00,3.45205586E+4,
680.00,3.12725469E+4,
681.00,3.09390898E+4,
682.00,2.95764805E+4,
683.00,2.96621094E+4,
684.00,2.84370156E+4,
685.00,2.80620566E+4,
686.00,2.65790859E+4,
687.00,2.58810547E+4,
688.00,2.56594375E+4,
689.00,2.48897910E+4,
690.00,2.44282949E+4,
691.00,2.38027734E+4,
692.00,2.31449883E+4,
693.00,2.25531328E+4,
694.00,2.20075137E+4,
695.00,2.18396250E+4,
696.00,2.10574199E+4,
697.00,2.02729355E+4,
698.00,1.98799570E+4,
699.00,1.94476172E+4,
700.00,1.91556777E+4,
