Labels,20min,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,3.28005859E+4,
471.00,3.69749648E+4,
472.00,4.22338398E+4,
473.00,4.86488281E+4,
474.00,5.54198438E+4,
475.00,6.28770625E+4,
476.00,7.13471406E+4,
477.00,8.01847656E+4,
478.00,8.93450625E+4,
479.00,1.00548289E+5,
480.00,1.11599492E+5,
481.00,1.23681922E+5,
482.00,1.36088406E+5,
483.00,1.49364188E+5,
484.00,1.62077203E+5,
485.00,1.75722969E+5,
486.00,1.88729750E+5,
487.00,2.00707313E+5,
488.00,2.13950375E+5,
489.00,2.26577297E+5,
490.00,2.40173016E+5,
491.00,2.53287250E+5,
492.00,2.65079156E+5,
493.00,2.77355250E+5,
494.00,2.88109906E+5,
495.00,2.98574813E+5,
496.00,3.07670313E+5,
497.00,3.17796063E+5,
498.00,3.27016219E+5,
499.00,3.37247063E+5,
500.00,3.43838625E+5,
501.00,3.50585156E+5,
502.00,3.57495406E+5,
503.00,3.65049031E+5,
504.00,3.71432250E+5,
505.00,3.77482688E+5,
506.00,3.80958750E+5,
507.00,3.85693688E+5,
508.00,3.90142594E+5,
509.00,3.93623813E+5,
510.00,3.95685156E+5,
511.00,3.99975563E+5,
512.00,4.02758375E+5,
513.00,4.05282250E+5,
514.00,4.06238625E+5,
515.00,4.09405500E+5,
516.00,4.09327875E+5,
517.00,4.11071094E+5,
518.00,4.12317063E+5,
519.00,4.14771750E+5,
520.00,4.15484469E+5,
521.00,4.13636531E+5,
522.00,4.10405719E+5,
523.00,4.09849938E+5,
524.00,4.08997219E+5,
525.00,4.08476844E+5,
526.00,4.08970875E+5,
527.00,4.06134156E+5,
528.00,4.03739000E+5,
529.00,4.01293781E+5,
530.00,3.97129063E+5,
531.00,3.93426938E+5,
532.00,3.91650344E+5,
533.00,3.87498219E+5,
534.00,3.82519813E+5,
535.00,3.80244625E+5,
536.00,3.75637438E+5,
537.00,3.72470031E+5,
538.00,3.68654250E+5,
539.00,3.64843875E+5,
540.00,3.60183781E+5,
541.00,3.55768063E+5,
542.00,3.50381500E+5,
543.00,3.45262625E+5,
544.00,3.40749906E+5,
545.00,3.35247125E+5,
546.00,3.31952406E+5,
547.00,3.26019063E+5,
548.00,3.20132938E+5,
549.00,3.16334906E+5,
550.00,3.11621906E+5,
551.00,3.07005188E+5,
552.00,3.02205313E+5,
553.00,2.96439469E+5,
554.00,2.90860594E+5,
555.00,2.84849844E+5,
556.00,2.81920938E+5,
557.00,2.77434969E+5,
558.00,2.73280375E+5,
559.00,2.66936500E+5,
560.00,2.58876844E+5,
561.00,2.52617484E+5,
562.00,2.47215969E+5,
563.00,2.42826672E+5,
564.00,2.38406125E+5,
565.00,2.32363219E+5,
566.00,2.27822094E+5,
567.00,2.23335531E+5,
568.00,2.18008766E+5,
569.00,2.14266109E+5,
570.00,2.08745109E+5,
571.00,2.04886984E+5,
572.00,2.00328563E+5,
573.00,1.95818969E+5,
574.00,1.90646859E+5,
575.00,1.86548875E+5,
576.00,1.82019094E+5,
577.00,1.77742344E+5,
578.00,1.74654453E+5,
579.00,1.70427672E+5,
580.00,1.65664953E+5,
581.00,1.61360078E+5,
582.00,1.57389453E+5,
583.00,1.55060031E+5,
584.00,1.49132750E+5,
585.00,1.47052109E+5,
586.00,1.43368844E+5,
587.00,1.39524625E+5,
588.00,1.36465828E+5,
589.00,1.32787047E+5,
590.00,1.29654438E+5,
591.00,1.25436906E+5,
592.00,1.22844008E+5,
593.00,1.19522313E+5,
594.00,1.16615219E+5,
595.00,1.13931055E+5,
596.00,1.11756406E+5,
597.00,1.08283047E+5,
598.00,1.05527648E+5,
599.00,1.03254148E+5,
600.00,1.00354438E+5,
601.00,9.82689531E+4,
602.00,9.52886172E+4,
603.00,9.28441172E+4,
604.00,8.95939453E+4,
605.00,8.89444141E+4,
606.00,8.63552031E+4,
607.00,8.42873203E+4,
608.00,8.11438984E+4,
609.00,7.94430234E+4,
610.00,7.63880156E+4,
611.00,7.53802969E+4,
612.00,7.37934844E+4,
613.00,7.12890234E+4,
614.00,6.95605234E+4,
615.00,6.77324531E+4,
616.00,6.56050156E+4,
617.00,6.40848438E+4,
618.00,6.20321484E+4,
619.00,6.02380586E+4,
620.00,5.86116016E+4,
621.00,5.77464805E+4,
622.00,5.60438945E+4,
623.00,5.41600234E+4,
624.00,5.28508086E+4,
625.00,5.08990391E+4,
626.00,4.97940859E+4,
627.00,4.93759727E+4,
628.00,4.69237930E+4,
629.00,4.57564258E+4,
630.00,4.46867227E+4,
631.00,4.37916055E+4,
632.00,4.21312148E+4,
633.00,4.09250352E+4,
634.00,3.93252188E+4,
635.00,3.85753867E+4,
636.00,3.76127656E+4,
637.00,3.62286797E+4,
638.00,3.57049297E+4,
639.00,3.52817656E+4,
640.00,3.32951836E+4,
641.00,3.28792852E+4,
642.00,3.26954160E+4,
643.00,3.13399727E+4,
644.00,3.12360762E+4,
645.00,2.98918691E+4,
646.00,2.87767930E+4,
647.00,2.81800742E+4,
648.00,2.72099063E+4,
649.00,2.63879199E+4,
650.00,2.61758750E+4,
651.00,2.51957363E+4,
652.00,2.41608945E+4,
653.00,2.31901348E+4,
654.00,2.32787305E+4,
655.00,2.21928418E+4,
656.00,2.15495527E+4,
657.00,2.15860996E+4,
658.00,2.15837500E+4,
659.00,2.28321328E+4,
660.00,2.40515645E+4,
661.00,2.34851914E+4,
662.00,2.17239395E+4,
663.00,1.88763340E+4,
664.00,1.75380938E+4,
665.00,1.73472656E+4,
666.00,1.66773984E+4,
667.00,1.66525918E+4,
668.00,1.55863242E+4,
669.00,1.55198789E+4,
670.00,1.54439561E+4,
671.00,1.48664785E+4,
672.00,1.45143906E+4,
673.00,1.36787656E+4,
674.00,1.36599414E+4,
675.00,1.36428906E+4,
676.00,1.33790391E+4,
677.00,1.27784590E+4,
678.00,1.22976660E+4,
679.00,1.23618545E+4,
680.00,1.03435273E+4,
681.00,1.02763682E+4,
682.00,1.01789697E+4,
683.00,9.56411621E+3,
684.00,9.93250488E+3,
685.00,9.09603613E+3,
686.00,8.82331152E+3,
687.00,8.81440918E+3,
688.00,8.99276172E+3,
689.00,8.45223340E+3,
690.00,8.25863086E+3,
691.00,7.71711377E+3,
692.00,7.81565430E+3,
693.00,7.67454541E+3,
694.00,7.32157227E+3,
695.00,7.00706299E+3,
696.00,6.79754004E+3,
697.00,6.58448926E+3,
698.00,6.73810400E+3,
699.00,6.57547266E+3,
700.00,6.10355664E+3,
