Labels,EmScan1,
Type,Emission Scan,
Comment,,
Start,470.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

470.00,9.01219101E+1,
471.00,9.60698166E+1,
472.00,9.51243286E+1,
473.00,9.66932220E+1,
474.00,1.09363190E+2,
475.00,1.07377708E+2,
476.00,1.16351234E+2,
477.00,1.01502129E+2,
478.00,1.16412125E+2,
479.00,1.17263786E+2,
480.00,1.07448845E+2,
481.00,1.35504562E+2,
482.00,1.21721115E+2,
483.00,1.36415802E+2,
484.00,1.49182617E+2,
485.00,1.70313080E+2,
486.00,1.81409851E+2,
487.00,1.65864090E+2,
488.00,2.04767776E+2,
489.00,2.04786255E+2,
490.00,1.99196335E+2,
491.00,2.43690018E+2,
492.00,2.14509354E+2,
493.00,2.56848053E+2,
494.00,2.31012955E+2,
495.00,2.66862671E+2,
496.00,2.33177444E+2,
497.00,2.33802948E+2,
498.00,2.45491928E+2,
499.00,2.25252228E+2,
500.00,2.33252747E+2,
501.00,2.60544434E+2,
502.00,3.09100555E+2,
503.00,2.58952728E+2,
504.00,3.02063477E+2,
505.00,2.79825165E+2,
506.00,3.01650055E+2,
507.00,3.04207581E+2,
508.00,3.04126984E+2,
509.00,2.88368683E+2,
510.00,2.62393433E+2,
511.00,3.03835358E+2,
512.00,3.16656036E+2,
513.00,3.05508484E+2,
514.00,3.27898895E+2,
515.00,3.00036285E+2,
516.00,3.12446320E+2,
517.00,3.17050598E+2,
518.00,3.12490417E+2,
519.00,2.93277405E+2,
520.00,3.07071716E+2,
521.00,2.96491150E+2,
522.00,2.92511536E+2,
523.00,2.87582428E+2,
524.00,2.82794586E+2,
525.00,3.27622925E+2,
526.00,3.12666382E+2,
527.00,3.15824921E+2,
528.00,3.27303589E+2,
529.00,3.45159180E+2,
530.00,3.67118652E+2,
531.00,4.07733093E+2,
532.00,4.14021667E+2,
533.00,4.80495941E+2,
534.00,5.74766724E+2,
535.00,5.87513306E+2,
536.00,6.42746033E+2,
537.00,6.48819092E+2,
538.00,6.08387695E+2,
539.00,6.49695435E+2,
540.00,6.68417847E+2,
541.00,6.63191833E+2,
542.00,6.42017578E+2,
543.00,5.52609558E+2,
544.00,4.79414734E+2,
545.00,4.40264832E+2,
546.00,4.14244049E+2,
547.00,3.17784546E+2,
548.00,2.67716339E+2,
549.00,2.72066528E+2,
550.00,2.16015717E+2,
551.00,2.39697922E+2,
552.00,2.23326538E+2,
553.00,2.13171112E+2,
554.00,2.24599075E+2,
555.00,2.45641373E+2,
556.00,1.96567551E+2,
557.00,2.33952545E+2,
558.00,2.49200638E+2,
559.00,2.33536362E+2,
560.00,2.19730148E+2,
561.00,2.14293350E+2,
562.00,1.98058746E+2,
563.00,2.04976257E+2,
564.00,1.83151764E+2,
565.00,1.84453598E+2,
566.00,1.78458801E+2,
567.00,1.88984665E+2,
568.00,1.52179092E+2,
569.00,1.63710449E+2,
570.00,1.88481262E+2,
571.00,1.45358582E+2,
572.00,1.70615509E+2,
573.00,1.67119064E+2,
574.00,1.72263550E+2,
575.00,1.57705902E+2,
576.00,1.45976639E+2,
577.00,1.27215988E+2,
578.00,1.27292198E+2,
579.00,1.44561951E+2,
580.00,1.64878220E+2,
581.00,1.42372360E+2,
582.00,1.66224014E+2,
583.00,1.65484161E+2,
584.00,1.42629181E+2,
585.00,1.31919357E+2,
586.00,1.34017303E+2,
587.00,1.39385635E+2,
588.00,1.20843307E+2,
589.00,1.28207108E+2,
590.00,1.33253403E+2,
591.00,1.50864380E+2,
592.00,1.04351685E+2,
593.00,1.13017426E+2,
594.00,1.22927483E+2,
595.00,1.17097412E+2,
596.00,1.33045883E+2,
597.00,1.09774582E+2,
598.00,1.23436546E+2,
599.00,1.20002953E+2,
600.00,1.30800110E+2,
601.00,1.18797691E+2,
602.00,1.01688148E+2,
603.00,8.77245560E+1,
604.00,8.84958344E+1,
605.00,1.41666992E+2,
606.00,1.11793861E+2,
607.00,1.33028885E+2,
608.00,8.56387100E+1,
609.00,1.22637413E+2,
610.00,9.26088867E+1,
611.00,1.17556503E+2,
612.00,1.13562187E+2,
613.00,9.58350830E+1,
614.00,8.73553238E+1,
615.00,7.99453125E+1,
616.00,1.25379089E+2,
617.00,1.17029816E+2,
618.00,9.70055847E+1,
619.00,1.25442970E+2,
620.00,1.05009377E+2,
621.00,1.00390472E+2,
622.00,1.38750198E+2,
623.00,1.17630203E+2,
624.00,8.86303329E+1,
625.00,1.00590294E+2,
626.00,1.30082108E+2,
627.00,1.25419922E+2,
628.00,8.19530182E+1,
629.00,1.21984360E+2,
630.00,9.23549881E+1,
631.00,8.68505173E+1,
632.00,1.09969406E+2,
633.00,1.02943565E+2,
634.00,8.87681656E+1,
635.00,1.05909103E+2,
636.00,1.30769989E+2,
637.00,1.20090149E+2,
638.00,1.08993729E+2,
639.00,8.62685318E+1,
640.00,1.27860352E+2,
641.00,1.34356888E+2,
642.00,1.27071808E+2,
643.00,1.22971245E+2,
644.00,1.20502663E+2,
645.00,1.07460197E+2,
646.00,1.04396606E+2,
647.00,1.11850761E+2,
648.00,1.15116020E+2,
649.00,1.24951286E+2,
650.00,1.26112694E+2,
651.00,1.11717178E+2,
652.00,9.50219269E+1,
653.00,1.52126053E+2,
654.00,1.10691612E+2,
655.00,1.64055328E+2,
656.00,1.44962234E+2,
657.00,1.04772163E+2,
658.00,1.03569023E+2,
659.00,1.59421158E+2,
660.00,1.48878418E+2,
661.00,1.55171753E+2,
662.00,1.49589813E+2,
663.00,1.51262039E+2,
664.00,8.52038269E+1,
665.00,1.19034988E+2,
666.00,1.22893173E+2,
667.00,1.37156967E+2,
668.00,1.12696411E+2,
669.00,1.24692596E+2,
670.00,1.26043312E+2,
671.00,1.62741440E+2,
672.00,1.67541397E+2,
673.00,1.56095062E+2,
674.00,1.29663681E+2,
675.00,1.59751740E+2,
676.00,1.67629227E+2,
677.00,1.87174484E+2,
678.00,1.56956436E+2,
679.00,1.53122086E+2,
680.00,1.86739288E+2,
681.00,1.61367035E+2,
682.00,1.35460281E+2,
683.00,1.40538040E+2,
684.00,1.68420044E+2,
685.00,1.64301544E+2,
686.00,1.46557022E+2,
687.00,1.65480057E+2,
688.00,1.68037338E+2,
689.00,1.46298615E+2,
690.00,1.09457527E+2,
691.00,1.57474060E+2,
692.00,2.06851151E+2,
693.00,1.73308914E+2,
694.00,2.47189270E+2,
695.00,1.25424965E+2,
696.00,1.23372765E+2,
697.00,2.07279739E+2,
698.00,1.74708038E+2,
699.00,2.17687744E+2,
700.00,1.22666969E+2,
